"0",""
"0","# install.packages(c(""ggplot2"", ""dplyr""))  # if needed"
"0",""
"0","library(ggplot2)"
"0","library(dplyr)"
"0",""
"0","set.seed(42)"
"0",""
"0","# Helper: light moving-average to get gentle wiggles (base R, no extra packages)"
"0","ma <- function(x, k = 7) {"
"0","  stats::filter(x, rep(1/k, k), sides = 2) |> as.numeric()"
"0","}"
"0",""
"0","# X axis"
"0","n  <- 600"
"0","x  <- seq(0, 100, length.out = n)  # ""Time"""
"0",""
"0","# --- Curves (all scaled to [0, 1]) ----------------------------------------"
"0",""
"0","# 1) Orange: fast start, then plateaus"
"0","#    Use a Gompertz-like rise to a plateau; add tiny noise + smooth"
"0","a_or  <- 0.015         # rate"
"0","y_or0 <- exp(-exp(-a_or*(x - 25)))  # Gompertz shape"
"0","y_or  <- (y_or0 - min(y_or0)) / (max(y_or0) - min(y_or0))"
"0","y_or  <- pmin(1, pmax(0, y_or + rnorm(n, 0, 0.004)))"
"0","y_or  <- ma(y_or, 9)"
"0","y_or  <- pmin(1, pmax(0, y_or))"
"0",""
"0","# 2) Blue: centered S-curve (logistic), steeper in the middle"
"0","k_bl  <- 0.22   # steepness"
"0","x0_bl <- 55     # inflection near the middle"
"0","y_bl0 <- 1 / (1 + exp(-k_bl*(x - x0_bl)))"
"0","y_bl  <- (y_bl0 - min(y_bl0)) / (max(y_bl0) - min(y_bl0))"
"0","y_bl  <- pmin(1, pmax(0, y_bl + rnorm(n, 0, 0.004)))"
"0","y_bl  <- ma(y_bl, 7)"
"0","y_bl  <- pmin(1, pmax(0, y_bl))"
"0",""
"0","# 3) Purple: slow, steady climb across most of the range"
"0","#    Use a power curve + linear blend to stay gradual for longer"
"0","y_pr0 <- (x/100)^4.35 * 0.92 + (x/100) * 0.08"
"0","y_pr  <- pmin(1, pmax(0, y_pr0 + rnorm(n, 0, 0.004)))"
"0","y_pr  <- ma(y_pr, 9)"
"0","y_pr  <- pmin(1, pmax(0, y_pr))"
"0",""
"0","# Bind to tidy frame"
"0","df <- bind_rows("
"0","  data.frame(x = x, y = y_bl, curve = ""Blue – S curve""),"
"0","  data.frame(x = x, y = y_or, curve = ""Orange – fast then plateau""),"
"0","  data.frame(x = x, y = y_pr, curve = ""Purple – steady long climb"")"
"0",")"
"0",""
"0","# Colors chosen to resemble your figure"
"0","cols <- c("
"0","  ""Blue – S curve""               = ""#2B5C88"","
"0","  ""Orange – fast then plateau""   = ""#E5871B"","
"0","  ""Purple – steady long climb""   = ""#6B5CA5"""
"0",")"
"0",""
"0","p <- ggplot(df, aes(x, y, color = curve)) +"
"0","  geom_line(linewidth = 1.0, lineend = ""round"") +"
"0","  scale_color_manual(values = cols, guide = ""none"") +"
"0","  coord_cartesian(ylim = c(0, 1), xlim = c(0, 100), expand = FALSE) +"
"0","  scale_y_continuous(labels = scales::label_number(accuracy = 0.01)) +"
"0","  labs("
"0","    title = ""Learning Curve"","
"0","    x = ""Time"","
"0","    y = ""Skill"""
"0","  ) +"
"0","  theme_minimal(base_size = 16) +"
"0","  theme("
"0","    plot.title = element_text(face = ""bold"", size = 26, hjust = 0),"
"0","    panel.grid.minor = element_blank(),"
"0","    axis.title.x = element_text(margin = margin(t = 10)),"
"0","    axis.title.y = element_text(margin = margin(r = 10)),"
"0","    axis.line = element_line(color = ""#333333"", linewidth = 0.7),"
"0","    axis.ticks = element_line(color = ""#333333"", linewidth = 0.5)"
"0","  )"
"0",""
"0","# Optional: label line ends like in many learning-curve graphics"
"0","endpoints <- df %>% group_by(curve) %>% slice_tail(n = 1)"
"0","p +"
"0","  geom_text("
"0","    data = endpoints,"
"0","    aes(label = sub("".*–\\s"", """", curve)),"
"0","    hjust = -0.05, vjust = 0.5, size = 5, fontface = ""plain"","
"0","    show.legend = FALSE"
"0","  ) +"
"0","  coord_cartesian(xlim = c(0, 102))  # add room for end labels"
