gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,returnerId,kickBlockerId,yardlineSide,yardlineNumber,gameClock,penaltyCodes,penaltyJerseyNumbers,penaltyYards,preSnapHomeScore,preSnapVisitorScore,passResult,kickLength,kickReturnYardage,playResult,absoluteYardlineNumber,nflId,height,weight,birthDate,collegeName,Position,displayName,season,week,gameDate,gameTimeEastern,homeTeamAbbr,visitorTeamAbbr,snapDetail,snapTime,operationTime,hangTime,kickType,kickDirectionIntended,kickDirectionActual,returnDirectionIntended,returnDirectionActual,missedTackler,assistTackler,tackler,kickoffReturnFormation,gunners,puntRushers,specialTeamsSafeties,vises,kickContactType
2019092600,36,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",1,0,0,GB,Kickoff,Touchback,32386,,,GB,35,15:00:00,,,,0,0,,68,,40,45,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,3.72,D,C,C,,,,,,8-0-2,,,GB 27; GB 28,,
2019092600,340,"M.Crosby extra point is GOOD, Center-H.Bradley, Holder-J.Scott.",1,0,0,GB,Extra Point,Kick Attempt Good,32386,,,PHI,15,10:31:00,,,,6,0,,,,0,95,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,,,,,,,,,,,,PHI 47,,
2019092600,356,"M.Crosby kicks 65 yards from GB 35 to end zone, Touchback.",1,0,0,GB,Kickoff,Touchback,32386,,,GB,35,10:31:00,,,,7,0,,75,,40,45,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,3.84,D,C,C,,,,,,8-0-2,,,GB 28; GB 37,,
2019092600,944,"(14:04) M.Crosby 30 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",2,4,7,GB,Field Goal,Kick Attempt Good,32386,,,PHI,12,14:04:00,,,,7,0,,30,,0,22,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,,,,,,,,,,,,PHI 47,,
2019092600,963,M.Crosby kicks 66 yards from GB 35 to PHI -1. M.Sanders to GB 34 for 67 yards (M.Crosby).,2,0,0,GB,Kickoff,Return,32386,47836,,GB,35,14:01:00,,,,10,0,,66,67,-1,75,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,3.78,D,C,C,C,R,,,GB 02,8-0-2,,,GB 27; GB 39,,
2019092600,1354,"(8:28) M.Crosby 31 yard field goal is GOOD, Center-H.Bradley, Holder-J.Scott.",2,4,2,GB,Field Goal,Kick Attempt Good,32386,,,PHI,13,8:28:00,,,,10,7,,31,,0,23,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,,,,,,,,,,,,PHI 47,,
2019092600,1373,"M.Crosby kicks 62 yards from GB 35 to PHI 3, out of bounds.",2,0,0,GB,Kickoff,Out of Bounds,32386,,,GB,35,8:24:00,,,,13,7,,25,,25,75,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,F,L,L,,,,,,8-0-2,,,GB 27; GB 39,,
2019092600,2205,"M.Crosby extra point is GOOD, Center-H.Bradley, Holder-J.Scott.",2,0,0,GB,Extra Point,Kick Attempt Good,32386,,,PHI,15,0:09:00,,,,19,21,,,,0,25,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,,,,,,,,,,,,PHI 47,,
2019092600,2221,M.Crosby kicks 50 yards from GB 35 to PHI 15. M.Sanders to PHI 25 for 10 yards (G.Allison; B.Goodson).,2,0,0,GB,Kickoff,Return,32386,47836,,GB,35,0:09:00,,,,20,21,,50,10,40,75,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,Q,C,C,C,C,,GB 93,GB 81,8-0-2,,,GB 27; GB 39,,
2019092600,3070,"M.Crosby extra point is GOOD, Center-H.Bradley, Holder-J.Scott.",3,0,0,GB,Extra Point,Kick Attempt Good,32386,,,PHI,15,3:16:00,,,,26,27,,,,0,25,32386,1-Jun,207,9/3/1984,Colorado,K,Mason Crosby,2019,4,9/26/2019,20:20:00,GB,PHI,,,,,,,,,,,,,,,,PHI 47,,
