study_index,change_score
10_100,104.50721326153845
10_100,4.055191699295492
10_100,128.39098772106678
10_100,266.8678201265799
10_100,-11.11422266523827
10_100,-11.111625413957377
10_100,275.75582535212226
10_100,147.33453909095002
10_100,-48.34142484285293
10_100,111.75991980334213
10_100,-47.38327096514442
10_100,-47.749033260802534
10_100,64.20609545289636
10_100,-276.7479420984049
10_100,-246.94947419504155
10_100,-63.02423464722706
10_100,-134.29911685645544
10_100,75.64141339370201
10_100,-117.7189014867741
10_100,-197.49469153448388
10_100,257.790273952391
10_100,-9.78899023204168
10_100,36.61105733496385
10_100,-199.46337827507892
10_100,-60.191738808145274
10_100,43.475941759297626
10_100,-156.15607598171263
10_100,85.36275995177004
10_100,-69.0912934489418
10_100,-20.216967741317248
10_100,-69.26023611819899
10_100,318.95409161481507
10_100,23.79303472306901
10_100,-141.3989916217475
10_100,156.05283378198587
10_100,-167.2061847650454
10_100,58.9699666524377
10_100,-284.0867062992721
10_100,-184.187486887308
10_100,57.07122311122155
10_100,142.7518495136572
10_100,53.03830070850348
10_100,7.632989956027749
10_100,-21.705597901560424
10_100,-207.9702611445356
10_100,-87.94931175398465
10_100,-46.94365239852062
10_100,193.16238491771085
10_100,80.28782617155473
10_100,-252.98033141811328
10_100,77.19754501577053
10_100,-34.99080239668458
10_100,-81.15912455309493
10_100,122.69393892307158
10_100,189.02983777322225
10_100,173.25447469988057
10_100,-106.8338750270666
10_100,-22.98837107149589
10_100,78.33331815540997
10_100,180.25708952783236
10_100,-49.87591743363288
10_100,-3.442528787380594
10_100,-149.0911953329867
10_100,-163.3086681805596
10_100,154.4678385607268
10_100,240.48208172567936
10_100,14.536439107001868
10_100,184.68468566800914
10_100,83.13818737819922
10_100,-76.12808790952683
10_100,83.10015360149598
10_100,269.2418445558967
10_100,20.260671494075307
10_100,273.4510203087006
10_100,-388.50893623166047
10_100,155.95120646767896
10_100,39.69889329113734
10_100,-21.37396128593547
10_100,40.44459028983518
10_100,-288.5002260157585
10_100,-8.82328724321491
10_100,82.42258821238522
10_100,259.72744631249293
10_100,-56.060804878425074
10_100,-101.97342679125289
10_100,-53.44846146896648
10_100,170.74261413215373
10_100,77.93587506686863
10_100,-57.878492176206095
10_100,107.12590124818098
10_100,41.28569060385181
10_100,179.1655049789356
10_100,-85.134801423213
10_100,-25.907079189297356
10_100,-36.10227808990943
10_100,-205.5961841655809
10_100,72.77375802518375
10_100,67.22656094541513
10_100,26.73719850531663
10_100,-11.182842211551264
10_500,-197.7398589837503
10_500,-52.55759328285773
10_500,-41.18342831404897
10_500,-108.2575779984227
10_500,-14.703512909834224
10_500,67.8085475083717
10_500,284.129272452508
10_500,34.316474422882585
10_500,46.426496561360096
10_500,-2.029062174671889
10_500,-271.2122161229355
10_500,4.966719855190158
10_500,17.627201440308156
10_500,368.3518393693729
10_500,-19.23901141727512
10_500,52.84794412362953
10_500,3.7702199578399105
10_500,-161.73454026283343
10_500,175.63386751711252
10_500,118.58268227049359
10_500,124.2892510005545
10_500,-123.89053471156802
10_500,213.57725383892898
10_500,-195.76663337978826
10_500,94.48950202637155
10_500,328.53807828485964
10_500,-135.73438289925062
10_500,-73.81586819920828
10_500,23.380801891018905
10_500,-64.64685423982995
10_500,-217.48611130952858
10_500,18.843385986515013
10_500,-146.20898410850467
10_500,77.95828637293532
10_500,-125.35542376642982
10_500,235.0526598354297
10_500,-105.48098858659662
10_500,-38.16907950782989
10_500,127.57102346522365
10_500,-170.81075836156703
10_500,42.03473124544349
10_500,199.61670810081134
10_500,-225.77908105591987
10_500,35.7841754290905
10_500,46.76691575827508
10_500,122.94516710949378
10_500,-171.69908042333032
10_500,-183.8869423665851
10_500,85.01494424578726
10_500,52.182012978410114
10_500,45.39643370951446
10_500,59.40132006067675
10_500,-90.41456171429836
10_500,42.734390966353516
10_500,51.61101917514075
10_500,-95.42461521017813
10_500,281.1501871708797
10_500,77.99338643427866
10_500,-165.03677364414358
10_500,104.66185485743189
10_500,-133.4203626921155
10_500,123.71312794913848
10_500,177.93593564664388
10_500,-110.94383360347545
10_500,149.44324663317065
10_500,69.08271959190485
10_500,128.8178838972367
10_500,285.67739828359015
10_500,-26.97843559281342
10_500,-101.17290171774208
10_500,-120.9900249181506
10_500,-110.23275009050182
10_500,-2.416680839648457
10_500,58.62832347723077
10_500,49.22007942771467
10_500,129.56560951077523
10_500,10.734129152506126
10_500,220.98282936591667
10_500,-29.790745373084448
10_500,405.8508829361218
10_500,100.15394016556897
10_500,-116.26747126420813
10_500,-147.4625352344716
10_500,79.25433879080319
10_500,-23.77838749690887
10_500,113.04634853437506
10_500,77.90650168249294
10_500,-1.7930571721843833
10_500,-114.7548472741787
10_500,-212.25866070830094
10_500,-56.33332005332363
10_500,133.82967975195533
10_500,40.08390765214584
10_500,-172.98171739482405
10_500,34.11259583201917
10_500,65.07435715289381
10_500,-120.16437483775118
10_500,31.27297802371831
10_500,17.33216050775214
10_500,-157.98244160702015
10_500,61.05629296053514
10_500,90.68415600923358
10_500,166.91008104964342
10_500,162.64110012551055
10_500,-192.23726419247652
10_500,-128.04106003121527
10_500,84.00695547715289
10_500,83.82461513781969
10_500,84.00876807051968
10_500,571.1507346011374
10_500,92.15914566264564
10_500,174.5746676695657
10_500,148.0750382483537
10_500,103.90839795494323
10_500,-37.17773319658442
10_500,119.6096286698104
10_500,-103.9589887137035
10_500,-25.72769770413933
10_500,-62.00335425843218
10_500,20.78617843498157
10_500,346.66575855892114
10_500,-263.6948038512545
10_500,108.997592901043
10_500,-226.54279537001685
10_500,-60.042972033461155
10_500,167.7711041351118
10_500,18.218279598459446
10_500,-148.46263988364808
10_500,-95.56360411728836
10_500,108.02519556949562
10_500,-97.76206930980386
10_500,40.42906181636466
10_500,15.487781523790712
10_500,-86.26596458942718
10_500,321.7496217749968
10_500,101.35828941030096
10_500,-286.73734134859546
10_500,36.0498748432111
10_500,-87.75264979891915
10_500,133.2509125991818
10_500,-106.83359182308827
10_500,-7.9095490850360655
10_500,82.54043047595724
10_500,135.19526597525336
10_500,-166.3493077388884
10_500,-39.98468273493034
